epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.822,1.80003,2.94812,1.72547,0.00333,1,0.35817,0.08654,2.53903,3.68884,3.77537,0.00065,0.00065,0.00065
2,1368.29,1.02219,1.72845,1.19207,0.70244,0.79,0.75879,0.38808,1.4595,3.74956,2.52004,0.0012906,0.0012906,0.0012906
3,2082.2,0.8137,1.1827,1.07511,0.63317,1,0.97523,0.8063,0.79332,4.45453,1.80808,0.00190479,0.00190479,0.00190479
4,2787.71,0.80077,1.00266,1.03519,0.95287,1,0.995,0.84299,0.88481,3.163,1.82938,0.0018812,0.0018812,0.0018812
5,3505.89,0.71271,0.88228,1.01293,0.98018,0.98899,0.9938,0.8185,0.81554,1.68408,1.74532,0.0018416,0.0018416,0.0018416
6,4244.44,0.65244,0.72807,0.99143,0.9971,1,0.995,0.88236,0.70914,0.74337,1.21635,0.001802,0.001802,0.001802
7,4993.76,0.59284,0.63589,0.9592,0.98627,1,0.99441,0.94292,0.6061,1.2272,1.2972,0.0017624,0.0017624,0.0017624
8,5716.19,0.61492,0.57657,0.96895,0.97826,1,0.9948,0.95797,0.5465,0.64041,1.28226,0.0017228,0.0017228,0.0017228
9,6472.38,0.55569,0.53376,0.93866,0.99541,1,0.995,0.91906,0.67762,0.72785,1.36528,0.0016832,0.0016832,0.0016832
10,7200.78,0.55026,0.54384,0.9544,0.998,1,0.995,0.91228,0.68818,0.49639,1.39476,0.0016436,0.0016436,0.0016436
11,7960.28,0.55246,0.546,0.95812,0.98788,1,0.995,0.94336,0.59806,0.6301,1.18403,0.001604,0.001604,0.001604
12,8729.07,0.49883,0.47446,0.93117,0.99919,1,0.995,0.91682,0.58054,0.4321,1.15427,0.0015644,0.0015644,0.0015644
13,9467.78,0.50978,0.46377,0.92972,0.98904,1,0.995,0.95452,0.57751,0.49093,1.24451,0.0015248,0.0015248,0.0015248
14,10208,0.49327,0.45039,0.91945,0.98989,1,0.9945,0.94874,0.55312,0.41486,1.16058,0.0014852,0.0014852,0.0014852
15,10996.4,0.4549,0.43151,0.91231,0.99004,0.99411,0.9949,0.98249,0.45948,0.37353,1.13145,0.0014456,0.0014456,0.0014456
16,12084.3,0.44375,0.41649,0.90591,0.95507,0.85036,0.94761,0.85766,0.59483,0.60114,1.09794,0.001406,0.001406,0.001406
17,12823.5,0.41799,0.39775,0.88973,0.99941,1,0.995,0.94132,0.56342,0.38677,1.18967,0.0013664,0.0013664,0.0013664
18,13571.7,0.42385,0.39139,0.90664,0.99884,1,0.995,0.9206,0.61963,0.52045,1.2426,0.0013268,0.0013268,0.0013268
19,14314.5,0.41631,0.39098,0.91394,0.99912,1,0.995,0.97791,0.44422,0.33947,1.11755,0.0012872,0.0012872,0.0012872
20,15061.9,0.42448,0.39249,0.90842,0.99938,1,0.995,0.96845,0.51521,0.35193,1.16467,0.0012476,0.0012476,0.0012476
21,15819.6,0.39339,0.3496,0.89245,0.99718,1,0.995,0.92461,0.59489,0.44913,1.31864,0.001208,0.001208,0.001208
22,16539.1,0.3997,0.37122,0.89506,0.99901,1,0.995,0.96667,0.49295,0.31714,1.13308,0.0011684,0.0011684,0.0011684
23,17258.4,0.40756,0.38076,0.90722,0.99936,1,0.995,0.97705,0.52982,0.32208,1.18255,0.0011288,0.0011288,0.0011288
24,17863,0.37238,0.3435,0.88172,0.9991,1,0.995,0.98309,0.44871,0.30757,1.12576,0.0010892,0.0010892,0.0010892
25,18438.3,0.36602,0.3239,0.88406,0.99936,1,0.995,0.9699,0.51895,0.33199,1.25239,0.0010496,0.0010496,0.0010496
26,19000.7,0.35336,0.32985,0.87943,0.999,1,0.995,0.98085,0.46896,0.29021,1.15712,0.00101,0.00101,0.00101
27,19584.2,0.3743,0.33227,0.89738,0.99931,1,0.995,0.98189,0.47325,0.31349,1.18082,0.0009704,0.0009704,0.0009704
28,20137.2,0.35488,0.31896,0.87532,0.99698,1,0.995,0.98921,0.45161,0.3229,1.12616,0.0009308,0.0009308,0.0009308
29,20532.3,0.34325,0.30273,0.8748,0.99896,1,0.995,0.98133,0.48969,0.30788,1.19645,0.0008912,0.0008912,0.0008912
